Wall time,Step,Value
1681553105.3932924,17170432,455.6764831542969
1681553106.280571,17235968,488.6976013183594
1681553107.1731179,17301504,436.7489318847656
1681553108.078033,17367040,454.0120849609375
1681553108.9896386,17432576,387.89935302734375
1681553109.9190226,17498112,432.17572021484375
1681553110.8112383,17563648,417.27093505859375
1681553111.7102492,17629184,439.46002197265625
1681553112.620628,17694720,443.80609130859375
1681553113.5109386,17760256,442.2610168457031
1681553114.407787,17825792,420.1268310546875
1681553115.2971318,17891328,404.7250671386719
1681553116.187035,17956864,444.46624755859375
1681553117.0792155,18022400,378.927490234375
1681553117.967382,18087936,411.9738464355469
1681553118.8628228,18153472,457.0929870605469
1681553119.7585938,18219008,431.6074523925781
1681553120.6556299,18284544,384.4678039550781
1681553121.5499763,18350080,436.7109680175781
1681553122.445903,18415616,484.3088684082031
1681553123.3319943,18481152,465.3971252441406
1681553124.2302952,18546688,475.16363525390625
1681553125.1112435,18612224,446.0335693359375
1681553126.0310807,18677760,460.0984802246094
1681553126.9495618,18743296,428.709716796875
1681553127.8466358,18808832,467.5062255859375
1681553128.7426386,18874368,493.5308532714844
1681553129.6475148,18939904,552.171142578125
1681553130.535129,19005440,583.7483520507812
1681553131.4274452,19070976,580.5078735351562
1681553132.3181865,19136512,598.7823486328125
1681553133.2270107,19202048,613.7276611328125
1681553134.1187859,19267584,582.1119995117188
1681553135.0249372,19333120,644.0059814453125
1681553135.9054303,19398656,620.3685302734375
1681553136.8078105,19464192,585.09228515625
1681553137.6835878,19529728,611.6975708007812
1681553138.5694003,19595264,625.1316528320312
1681553139.469941,19660800,636.4830932617188
1681553140.3577805,19726336,617.8128051757812
1681553141.2429485,19791872,657.4263305664062
1681553142.1407788,19857408,703.2894897460938
1681553143.0226831,19922944,693.0769653320312
1681553143.9057946,19988480,680.6493530273438
1681553144.7966588,20054016,688.8404541015625
1681553145.6833837,20119552,720.8196411132812
1681553146.5925765,20185088,747.1361694335938
1681553147.5099804,20250624,739.54296875
1681553148.3993905,20316160,773.2468872070312
1681553149.3219488,20381696,794.789306640625
1681553150.2253702,20447232,725.0571899414062
1681553151.1019075,20512768,773.8497314453125
1681553151.994528,20578304,751.2420654296875
1681553152.8829398,20643840,759.22021484375
1681553153.7804635,20709376,802.277099609375
1681553154.689964,20774912,796.7283935546875
1681553155.573214,20840448,762.0028076171875
1681553156.4657316,20905984,770.0567016601562
1681553157.3608885,20971520,805.6351318359375
1681553158.2869248,21037056,855.3514404296875
1681553159.2155254,21102592,816.7405395507812
1681553160.1026535,21168128,819.130859375
1681553160.9889822,21233664,809.0902709960938
1681553161.8936262,21299200,777.2107543945312
1681553162.7978837,21364736,723.5419311523438
1681553163.6851418,21430272,765.77685546875
1681553164.5775216,21495808,763.1051635742188
1681553165.4672081,21561344,817.7468872070312
1681553166.372775,21626880,869.66796875
1681553167.2901483,21692416,798.6555786132812
1681553168.1699023,21757952,822.9332885742188
1681553169.0514464,21823488,842.6152954101562
1681553169.9390795,21889024,809.6412353515625
1681553170.8231702,21954560,741.4141845703125
1681553171.7168329,22020096,796.8214111328125
1681553172.6025596,22085632,745.1895141601562
1681553173.4972277,22151168,766.3535766601562
1681553174.41054,22216704,705.9473876953125
1681553175.3076043,22282240,759.0625
1681553176.1919396,22347776,753.0958251953125
1681553177.090301,22413312,710.8095092773438
1681553177.9776175,22478848,686.5556030273438
1681553178.8666532,22544384,723.7888793945312
1681553179.7489738,22609920,718.0056762695312
1681553180.6387324,22675456,635.1131591796875
1681553181.5274057,22740992,600.1766967773438
1681553182.4106114,22806528,682.0731811523438
1681553183.2938051,22872064,726.7019653320312
1681553184.1940563,22937600,655.1364135742188
1681553185.1078596,23003136,615.48095703125
1681553186.0044909,23068672,664.3621826171875
1681553186.899693,23134208,597.269775390625
1681553187.7861614,23199744,609.6248168945312
1681553188.6679206,23265280,622.5579223632812
1681553189.5583017,23330816,615.9684448242188
1681553190.461428,23396352,568.00390625
1681553191.365588,23461888,555.6550903320312
1681553192.2644808,23527424,578.016845703125
1681553193.1521518,23592960,514.870849609375
1681553194.040962,23658496,586.0317993164062
1681553194.9229386,23724032,656.21484375
1681553195.821925,23789568,649.3787841796875
1681553196.7135115,23855104,609.8403930664062
1681553197.6060083,23920640,477.7736511230469
1681553198.4871724,23986176,520.1146240234375
1681553199.3693614,24051712,516.2047119140625
1681553200.255596,24117248,505.2267150878906
1681553201.136213,24182784,478.5244445800781
1681553202.042626,24248320,451.29840087890625
1681553202.9798238,24313856,476.24755859375
1681553203.9189346,24379392,433.2489013671875
1681553204.8501937,24444928,524.4913330078125
1681553205.794849,24510464,537.7093505859375
1681553206.7452497,24576000,391.7199401855469
1681553207.6782439,24641536,449.18701171875
1681553208.577884,24707072,487.1761169433594
1681553209.466452,24772608,470.7464294433594
